width,height,thickness,angle,type,
,4.5,1,90,pan,
,5.6,0.95,94,pan,
,4,1.1,90,pan,
,5.2,1.4,90,pan,
,4.2,1,96.5,pan,
,5,1.35,93,pan,
,5.1,1,93,pan,
,3.6,1.5,93,pan,
,5,0.9,100,pan,
,4.3,1.2,93,pan,
,6.5,1.1,94,pan,
,6.5,0.85,93,pan,
,4.8,1,93,pan,
,4.9,,90,pan,
,6,1,90,pan,
,4.4,1.3,90,pan,
,6,1.15,90,pan,
,5.3,1.15,90,pan,
,4.3,1,90,pan,
,3.8,1.05,90,pan,
,4.6,1.4,90,pan,
,4.8,0.95,90,pan,
,4.1,1.35,90,pan,
,4.3,1.25,90,pan,
,4.3,1.2,90,pan,
,6.5,1.1,90,pan,
,5.1,1.3,90,pan,
,4.1,0.95,90,pan,
,4.6,1.1,91,pan,
,4.5,1.2,94,pan,
,6.1,1.4,93,pan,
,5.5,1.2,90,pan,
,6.7,1.2,92,pan,
,4.8,1,,pan,
,3.7,1.2,,pan,
,5.1,0.95,,pan,
,4.5,1.2,,pan,
,6.2,1.1,,pan,
,4.5,1.05,,pan,
,4.3,1.2,,pan,
,4.1,0.8,,pan,
,5,1.2,,pan,
,5.6,1,,pan,
,4.1,0.55,,pan,
,6.2,1.15,,pan,
,5.2,0.8,,pan,
,4.9,1,,pan,
,5.25,0.9,,pan,
,4.6,1.25,,pan,
,4.1,1,,pan,
,2.05,0.7,,pan,
,3.35,1.15,,pan,
,6.3,1.1,,pan,
,4.7,1,,pan,
,3.95,1,,pan,
,5.4,1.15,,pan,
,4.9,0.9,,pan,
,3.5,0.95,,pan,
,2.7,1,,pan,
,4.85,1.15,,pan,
,3.6,1.2,,pan,
,3.5,1.1,,pan,
,6.25,1.45,,pan,
,5.4,1.1,,pan,
,4.8,1,,pan,
,4,0.95,,pan,
,4.4,0.9,,pan,
,5,1.2,,pan,
,4.9,1.2,,pan,
,4.2,1,,pan,
,3.2,0.8,,pan,
,4.15,1,,pan,
,4,1,,pan,
,4.15,0.7,,pan,
,6.7,1.3,,pan,
,5.1,0.8,,pan,
,5.1,1.4,,pan,
,3.3,0.75,,pan,
,3.75,0.95,,pan,
,4.2,1,,pan,
,3.85,0.95,,pan,
,4.65,0.85,,pan,
,3.55,1.1,,pan,
,4,1.1,,pan,
,4,1.3,,pan,
,3.75,0.7,,pan,
,4.25,0.95,,pan,
,4.55,1.15,,pan,
,3.4,1.35,,pan,
,3,0.9,,pan,
,6,1.25,,pan,
,5.15,0.8,,pan,
,5.65,1.25,,pan,
,5.2,1.15,,pan,
,4.2,0.9,,pan,
,4.4,1.15,,pan,
,4.15,0.9,,pan,
,2.1,0.9,,pan,
,3.5,0.65,,pan,
,4.2,0.8,,pan,
,3.95,1,,pan,
,2.5,1.05,,pan,
,3.5,0.75,,pan,
,5.5,0.95,,pan,
,4.4,1,,pan,
,,1.2,90,pan,
,,1.1,90,pan,
,,1,90,pan,
,,0.75,92,pan,
,,1.1,93,pan,
,,1.05,95,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,0.7,92,pan,
,,0.75,90,pan,
,,1.6,94,pan,
,,1,97,pan,
,,0.95,93.5,pan,
,,1.4,90,pan,
,,1.2,96.5,pan,
,,1.1,94,pan,
,,0.95,98,pan,
,,1.1,90,pan,
,,1.1,94,pan,
,,1.5,90,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,1.1,91,pan,
,,1,91,pan,
,,1,94.5,pan,
,,0.9,90,pan,
,,1.1,92,pan,
,,0.95,90,pan,
,,1,90,pan,
,,1.05,92,pan,
,,0.9,90,pan,
,,1,96,pan,
,,1.5,90,pan,
,,1.2,96,pan,
,,0.9,92,pan,
,,1.2,96.5,pan,
,,0.75,90,pan,
,,0.95,95,pan,
,,1.25,94,pan,
,,1,90,pan,
,,0.85,100,pan,
,,1.15,90,pan,
,,1.25,90,pan,
,,1,90,pan,
,,1.5,95,pan,
,,0.8,94,pan,
,,1.1,94,pan,
,,1.1,93,pan,
,,1.6,91,pan,
,,1.8,90,pan,
,,1.2,93,pan,
,,0.8,90,pan,
,,0.85,90,pan,
,,0.8,90,pan,
,,1.1,90,pan,
,,0.9,90,pan,
,,1.4,90,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,1.1,90,pan,
,,1.3,90,pan,
,,1.4,95,pan,
,,1,94,pan,
,,1,90,pan,
,,1.3,91,pan,
,,1.2,92,pan,
,,1.1,96,pan,
,,1,90,pan,
,,1.3,90,pan,
,,1.3,93,pan,
,,0.95,92,pan,
,,0.7,93.5,pan,
,,1,90,pan,
,,1.05,94.5,pan,
,,1,95,pan,
,,0.9,92,pan,
,,0.7,90,pan,
,,1,90,pan,
,,0.9,93.5,pan,
,,1,90,pan,
,,0.95,94,pan,
,,1.1,94.5,pan,
,,1.4,97,pan,
,,1.65,100,pan,
,,1.2,90,pan,
,,1.45,94,pan,
,,1.1,94.5,pan,
,,0.9,90,pan,
,,1,93.5,pan,
,,1.05,91.5,pan,
,,1.15,90,pan,
,,1.4,90,pan,
,,1.3,90,pan,
,,0.85,90,pan,
,,0.9,90,pan,
,,0.9,90,pan,
,,0.7,90,pan,
,,1.25,98,pan,
,,1.35,90,pan,
,,0.8,92,pan,
,,0.8,96,pan,
,,1.15,96,pan,
,,0.8,90,pan,
,,1.35,94,pan,
,,1.1,92,pan,
,,1,90,pan,
,,1.1,90,pan,
,,1.2,90,pan,
,,1.3,90,pan,
,,0.9,90,pan,
,,1.2,90,pan,
,,1.3,92,pan,
,,0.9,91.5,pan,
,,1.4,90,pan,
,,0.95,94,pan,
,,1,90,pan,
,,1.1,93,pan,
,,1.2,90,pan,
,,0.9,102,pan,
,,1.15,99,pan,
,,0.9,90,pan,
,,0.8,93,pan,
,,1.1,91,pan,
,,1.15,90,pan,
,,0.85,,pan,
,,1.3,,pan,
,,0.9,,pan,
,,1.4,,pan,
,,1.2,,pan,
,,1.05,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,1,,pan,
,,1.15,,pan,
,,1,,pan,
,,1,,pan,
,,1.4,,pan,
,,1.8,,pan,
,,1.2,,pan,
,,1.1,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1.4,,pan,
,,1.15,,pan,
,,1.1,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,0.95,,pan,
,,1.15,,pan,
,,0.9,,pan,
,,1.25,,pan,
,,1,,pan,
,,1,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.75,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.95,,pan,
,,1,,pan,
,,1.4,,pan,
,,0.8,,pan,
,,1.25,,pan,
,,0.8,,pan,
,,1.15,,pan,
,,0.85,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,1,,pan,
,,0.7,,pan,
,,0.75,,pan,
,,0.7,,pan,
,,0.85,,pan,
,,0.7,,pan,
,,0.7,,pan,
,,1.35,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,1,,pan,
,,0.8,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,1,,pan,
,,1.3,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,1.1,,pan,
,,1.1,,pan,
,,1.2,,pan,
,,1.2,,pan,
,,0.85,,pan,
,,1,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,1,,pan,
,,0.95,,pan,
,,1,,pan,
,,1.4,,pan,
,,1.05,,pan,
,,1.2,,pan,
,,1.05,,pan,
,,0.75,,pan,
,,0.7,,pan,
,,0.9,,pan,
,,1,,pan,
,,1,,pan,
,,,,pan,
,,1.1,,pan,
,,0.9,,pan,
,,0.7,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,,,pan,
,,1.1,,pan,
,,1.1,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,1.4,,pan,
,,0.8,,pan,
,,1,,pan,
,,,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,,,pan,
,,1.25,,pan,
,,0.7,,pan,
,,1.25,,pan,
,,1.15,,pan,
,,0.8,,pan,
,,1,,pan,
,,0.8,,pan,
,,1,,pan,
,,1.05,,pan,
,,0.6,,pan,
,,1,,pan,
,,1,,pan,
,,1.05,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,1.4,,pan,
,,1.4,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1,,pan,
,,1.1,,pan,
,,1.5,,pan,
,,0.8,,pan,
,,1.3,,pan,
,,1,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,0.7,,pan,
,,1,,pan,
,,0.95,,pan,
,,1.1,,pan,
,,1.25,,pan,
,,0.65,,pan,
,,1.15,,pan,
,,1.25,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,1.2,,pan,
,,1.5,,pan,
,,0.85,,pan,
,,1,,pan,
,,1,,pan,
,,0.7,,pan,
,,0.75,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1.05,,pan,
,,0.7,,pan,
,,0.95,,pan,
,,0.75,,pan,
,,0.8,,pan,
,,1.3,,pan,
,,0.45,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,0.55,,pan,
,,1.2,,pan,
,,0.8,,pan,
,,1.2,,pan,
,,1.4,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.65,,pan,
,,1.3,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1.1,,pan,
,,0.95,,pan,
,,1,,pan,
,,1.1,,pan,
,,0.95,,pan,
,,0.85,,pan,
,,1.05,,pan,
,,1.1,,pan,
,,1.4,,pan,
,,0.9,,pan,
,,0.75,,pan,
,,0.9,,pan,
,,1.3,,pan,
,,0.7,,pan,
,,0.8,,pan,
,,1.15,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,1.05,,pan,
,,1.1,,pan,
,,1,,pan,
,,1.2,,pan,
,,1.4,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,0.8,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,1.05,,pan,
,,1,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,0.85,,pan,
,,0.7,,pan,
,,1.1,,pan,
,,0.75,,pan,
,,0.8,,pan,
,,1,,pan,
,,1.15,,pan,
,,0.6,,pan,
,,0.9,,pan,
,,0.7,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,1.35,,pan,
,,0.85,,pan,
,,0.9,,pan,
,,0.9,,pan,
,,1.2,,pan,
,,0.9,,pan,
,,1.2,,pan,
,,0.95,,pan,
,,0.95,,pan,
,,0.8,,pan,
,,1.2,,pan,
,,0.6,,pan,
,,0.85,,pan,
,,1,,pan,
,,0.85,,pan,
,,0.75,,pan,
,,1,,pan,
,,0.9,,pan,
,,0.8,,pan,
,,0.95,,pan,
,,1,,pan,
,,0.9,,pan,
,,1,,pan,
,,0.85,,pan,
,,0.85,,pan,
,,0.95,,pan,
,,0.9,,pan,
,,0.85,,pan,
,,0.8,,pan,
